Aangeboden sinds,Aantal badkamers,Aantal kamers,Aantal woonlagen,Aanvaarding,Achtertuin,Address,Badkamervoorzieningen,Balkon / dakterras,Bedrijfsruimte,Bijdrage VvE,Bouwjaar,C.V.-ketel,Eigendomssituatie,Energielabel,Externe bergruimte,Gebouwgebonden buitenruimte,Gelegen op,Huurprijs,Inhoud,Inschrijving KvK,Isolatie,Jaarlijkse vergadering,Lasten,Ligging,Ligging tuin,Onderhoudsplan,Oorspronkelijke huurprijs,Oorspronkelijke vraagprijs,Opstalverzekering,Overbruggingsgarantie,Overige inpandige ruimte,Perceeloppervlakte,Periodieke bijdrage,Postcode,Reservefonds aanwezig,Schuur/berging,Servicekosten,Soort appartement,Soort bouw,Soort dak,Soort garage,Soort parkeergelegenheid,Specifiek,Status,Tuin,Verwarming,Voorzieningen,Vraagprijs,Warm water,Wonen (= woonoppervlakte),Zonneterras
6+ maanden,1 badkamer,3 kamers (2 slaapkamers),1 woonlaag,"In overleg, No-Risk clausule mogelijk|?",,Brederodestraat 30 II,Douche en toilet,,,€ 60 per maand,1901,"2000, Eigendom",Volle eigendom,Niet beschikbaar,,,3e woonlaag,,170,Ja,Geen isolatie,Ja,,Aan rustige weg en in woonwijk,,Ja,,239.000,Ja,,,,Ja (€ 60 per maand),1054 MV Amsterdam,Ja,,,Bovenwoning (appartement),Bestaande bouw,Plat dak,,Parkeervergunningen,,Beschikbaar,,C.V.-ketel,TV kabel,219.000,C.V.-ketel,57,
3 maanden,1 badkamer en 1 apart toilet,5 kamers (3 slaapkamers),2 woonlagen,In overleg,,Eerste Helmersstraat 113 II,Ligbad en toilet,Balkon aanwezig,,,1887,Eigendom,,Niet beschikbaar,,5,2e woonlaag,,450,Nee,,Nee,,Aan rustige weg en in woonwijk,,Nee,,,Nee,,7,,Nee,1054 DN Amsterdam   ,Nee,,,Bovenwoning (dubbel bovenhuis),Bestaande bouw,,,,,Beschikbaar,,C.V.-ketel,,649.000,,150,
5 maanden,1 badkamer,2 kamers (1 slaapkamer),5 woonlagen,In overleg,,Alberdingk Thijmstraat 5 -II,Douche en toilet,,,€ 40 per maand,1906-1930,"Gas gestookt combiketel uit 2008, Eigendom",Volle eigendom,Niet verplicht,,,3e woonlaag,,154,Ja,Vloerisolatie,Ja,,"Beschutte ligging, in woonwijk, in centrum en aan rustige weg",,Nee,,,Ja,,,,Ja (€ 40 per maand),1054 AH Amsterdam   ,Ja,,40 /mnd,Bovenwoning (appartement),Bestaande bouw,,,,Gedeeltelijk gestoffeerd en monument,Beschikbaar,,C.V.-ketel,TV kabel,225.000,C.V.-ketel,54,
3 maanden,1 badkamer,2 kamers (1 slaapkamer),1 woonlaag,In overleg,,Bosboom Toussaintstraat 56 II,"Ligbad, douche en toilet",Balkon aanwezig,,,Voor 1906,,Volle eigendom,Niet beschikbaar,,2,,,165,Nee,,Nee,,,,Nee,,,Nee,,,,Nee,1054 AV Amsterdam   ,Nee,,,Bovenwoning,Bestaande bouw,,,,,Beschikbaar,,,,310.000,,65,
6+ maanden,1 badkamer en 1 apart toilet,5 kamers (3 slaapkamers),5 woonlagen,In overleg,,Bosboom Toussaintstraat 56 III,"Ligbad, douche en toilet",Dakterras aanwezig en frans balkon aanwezig,,,1900,"Gas gestookt, Eigendom",Volle eigendom,Niet beschikbaar,,30,4e woonlaag,,315,Ja,Dakisolatie en gedeeltelijk dubbel glas,Ja,,In woonwijk,,Ja,,,Ja,,,,Ja,1054 AV Amsterdam   ,Ja,Inpandig,140 /mnd,Bovenwoning (dubbel bovenhuis),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,,,Beschikbaar,,C.V.-ketel,Elektra,550.000,C.V.-ketel,122,
8 weken,,5 kamers (4 slaapkamers),2 woonlagen,In overleg,"26 (4,75m diep en 5,5m breed)",Derde Helmersstraat 47 B-hs,,Balkon aanwezig,,€ 53 per maand,1900,"Vaillant (gas gestookt combiketel uit 2002, Eigendom)",Volle eigendom,Niet beschikbaar,,4,1e woonlaag,,460,Nee,Dubbel glas,Nee,,Aan rustige weg,Gelegen op het zuidwesten,Nee,,,Nee,,,,Nee,1054 BC Amsterdam   ,Nee,,53 /mnd,Dubbel benedenhuis (appartement),Bestaande bouw,Samengesteld dak bedekt met bitumineuze dakbedekking,,"Openbaar parkeren, betaald parkeren, parkeergarage en parkeervergunningen",,Beschikbaar,Achtertuin,C.V.-ketel,,669.000,C.V.-ketel,121,
3 maanden,,4 kamers (3 slaapkamers),2 woonlagen,In overleg,,Eerste Helmersstraat 149 II,,Dakterras aanwezig,,€ 150 per maand,1896,"Intergas (gas gestookt combiketel uit 2006, Eigendom)",Volle eigendom,Niet beschikbaar,,33,3e woonlaag,,514,Ja,Dubbel glas,Nee,,Aan rustige weg,,Nee,,,Ja,,,,Ja (€ 150 per maand),1054 DR Amsterdam   ,Ja,,150 /mnd,Bovenwoning (dubbel bovenhuis),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,"Openbaar parkeren, betaald parkeren en parkeervergunningen",,Beschikbaar,,C.V.-ketel en kolenkachel,,639.000,C.V.-ketel,137,
3 maanden,1 badkamer en 2 aparte toiletten,3 kamers (2 slaapkamers),5 woonlagen,In overleg,,Eerste Helmersstraat 235 III,Ligbad en douche,Dakterras aanwezig en balkon aanwezig,,,1906,"Intergas (2005, Eigendom)",Volle eigendom,Niet beschikbaar,,36,4e woonlaag,,368,Ja,Dubbel glas,Ja,,Aan rustige weg en in woonwijk,,Ja,,,Ja,,,,Ja,1054 DX Amsterdam   ,Ja,Inpandig,100 /mnd,Bovenwoning (appartement),Bestaande bouw,,,Betaald parkeren en parkeervergunningen,,Beschikbaar,Zonneterras,C.V.-ketel,Elektra en stromend water,499.000,C.V.-ketel,113,36 (6m diep en 6m breed)
6+ maanden,1 badkamer en 1 apart toilet,2 kamers (1 slaapkamer),1 woonlaag,In overleg,,Jan Pieter Heijestraat 147 I,Douche,Balkon aanwezig,,,Voor 1906,"Intergas (gas gestookt combiketel uit 2008, Eigendom)",Volle eigendom,Niet beschikbaar,12,,1e woonlaag,,175,Nee,Dubbel glas,Nee,,,,Nee,,,Nee,,,,Nee,1054 MG Amsterdam   ,Nee,Inpandig,,Bovenwoning (appartement),Bestaande bouw,Plat dak bedekt met bitumineuze dakbedekking,,Betaald parkeren,Gestoffeerd,Beschikbaar,,C.V.-ketel,Elektra,225.000,C.V.-ketel,50,
6+ maanden,1 badkamer,2 kamers (1 slaapkamer),4 woonlagen,In overleg,,Wilhelminastraat 12 -III,Douche en toilet,Balkon aanwezig en frans balkon aanwezig,,€ 75 per maand,Voor 1906,,Volle eigendom,Niet beschikbaar,,4,3e woonlaag,,146,Ja,Gedeeltelijk dubbel glas,Ja,,In woonwijk en aan rustige weg,,Nee,,,Ja,,,,Ja (€ 75 per maand),1054 WH Amsterdam   ,Ja,,75 /mnd,Bovenwoning (appartement),Bestaande bouw,,,Betaald parkeren,,Beschikbaar,,Gaskachels,,225.000,Geiser,56,
